0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,date,day_of_week,cnt
1.0,1032.0,4.0,3.0,2016.0,14.0,1065024.0,4128.0,3096.0,2080512.0,14448.0,16.0,12.0,8064.0,56.0,9.0,6048.0,42.0,4064256.0,28224.0,196.0,1032.0,4.0,510
1.0,1033.0,5.0,3.0,2016.0,15.0,1067089.0,5165.0,3099.0,2082528.0,15495.0,25.0,15.0,10080.0,75.0,9.0,6048.0,45.0,4064256.0,30240.0,225.0,1033.0,5.0,2050
1.0,1034.0,6.0,3.0,2016.0,16.0,1069156.0,6204.0,3102.0,2084544.0,16544.0,36.0,18.0,12096.0,96.0,9.0,6048.0,48.0,4064256.0,32256.0,256.0,1034.0,6.0,388
1.0,1035.0,1.0,3.0,2016.0,18.0,1071225.0,1035.0,3105.0,2086560.0,18630.0,1.0,3.0,2016.0,18.0,9.0,6048.0,54.0,4064256.0,36288.0,324.0,1035.0,1.0,2550
1.0,1036.0,2.0,3.0,2016.0,19.0,1073296.0,2072.0,3108.0,2088576.0,19684.0,4.0,6.0,4032.0,38.0,9.0,6048.0,57.0,4064256.0,38304.0,361.0,1036.0,2.0,2899
1.0,1037.0,3.0,3.0,2016.0,20.0,1075369.0,3111.0,3111.0,2090592.0,20740.0,9.0,9.0,6048.0,60.0,9.0,6048.0,60.0,4064256.0,40320.0,400.0,1037.0,3.0,1640
1.0,1038.0,4.0,3.0,2016.0,21.0,1077444.0,4152.0,3114.0,2092608.0,21798.0,16.0,12.0,8064.0,84.0,9.0,6048.0,63.0,4064256.0,42336.0,441.0,1038.0,4.0,1531
1.0,1039.0,5.0,3.0,2016.0,22.0,1079521.0,5195.0,3117.0,2094624.0,22858.0,25.0,15.0,10080.0,110.0,9.0,6048.0,66.0,4064256.0,44352.0,484.0,1039.0,5.0,2309
1.0,1040.0,6.0,3.0,2016.0,23.0,1081600.0,6240.0,3120.0,2096640.0,23920.0,36.0,18.0,12096.0,138.0,9.0,6048.0,69.0,4064256.0,46368.0,529.0,1040.0,6.0,154
1.0,1041.0,1.0,3.0,2016.0,25.0,1083681.0,1041.0,3123.0,2098656.0,26025.0,1.0,3.0,2016.0,25.0,9.0,6048.0,75.0,4064256.0,50400.0,625.0,1041.0,1.0,2563
1.0,1042.0,2.0,3.0,2016.0,26.0,1085764.0,2084.0,3126.0,2100672.0,27092.0,4.0,6.0,4032.0,52.0,9.0,6048.0,78.0,4064256.0,52416.0,676.0,1042.0,2.0,2251
1.0,1043.0,3.0,3.0,2016.0,27.0,1087849.0,3129.0,3129.0,2102688.0,28161.0,9.0,9.0,6048.0,81.0,9.0,6048.0,81.0,4064256.0,54432.0,729.0,1043.0,3.0,1819
1.0,1044.0,4.0,3.0,2016.0,28.0,1089936.0,4176.0,3132.0,2104704.0,29232.0,16.0,12.0,8064.0,112.0,9.0,6048.0,84.0,4064256.0,56448.0,784.0,1044.0,4.0,1471
1.0,1045.0,5.0,3.0,2016.0,29.0,1092025.0,5225.0,3135.0,2106720.0,30305.0,25.0,15.0,10080.0,145.0,9.0,6048.0,87.0,4064256.0,58464.0,841.0,1045.0,5.0,1998
1.0,1046.0,6.0,3.0,2016.0,30.0,1094116.0,6276.0,3138.0,2108736.0,31380.0,36.0,18.0,12096.0,180.0,9.0,6048.0,90.0,4064256.0,60480.0,900.0,1046.0,6.0,399
1.0,1047.0,1.0,4.0,2016.0,1.0,1096209.0,1047.0,4188.0,2110752.0,1047.0,1.0,4.0,2016.0,1.0,16.0,8064.0,4.0,4064256.0,2016.0,1.0,1047.0,1.0,2130
1.0,1048.0,2.0,4.0,2016.0,2.0,1098304.0,2096.0,4192.0,2112768.0,2096.0,4.0,8.0,4032.0,4.0,16.0,8064.0,8.0,4064256.0,4032.0,4.0,1048.0,2.0,2918
1.0,1049.0,3.0,4.0,2016.0,3.0,1100401.0,3147.0,4196.0,2114784.0,3147.0,9.0,12.0,6048.0,9.0,16.0,8064.0,12.0,4064256.0,6048.0,9.0,1049.0,3.0,1983
1.0,1050.0,4.0,4.0,2016.0,4.0,1102500.0,4200.0,4200.0,2116800.0,4200.0,16.0,16.0,8064.0,16.0,16.0,8064.0,16.0,4064256.0,8064.0,16.0,1050.0,4.0,2149
1.0,1051.0,5.0,4.0,2016.0,5.0,1104601.0,5255.0,4204.0,2118816.0,5255.0,25.0,20.0,10080.0,25.0,16.0,8064.0,20.0,4064256.0,10080.0,25.0,1051.0,5.0,2669
1.0,1052.0,6.0,4.0,2016.0,6.0,1106704.0,6312.0,4208.0,2120832.0,6312.0,36.0,24.0,12096.0,36.0,16.0,8064.0,24.0,4064256.0,12096.0,36.0,1052.0,6.0,41
1.0,1053.0,2.0,4.0,2016.0,9.0,1108809.0,2106.0,4212.0,2122848.0,9477.0,4.0,8.0,4032.0,18.0,16.0,8064.0,36.0,4064256.0,18144.0,81.0,1053.0,2.0,3724
1.0,1054.0,3.0,4.0,2016.0,10.0,1110916.0,3162.0,4216.0,2124864.0,10540.0,9.0,12.0,6048.0,30.0,16.0,8064.0,40.0,4064256.0,20160.0,100.0,1054.0,3.0,3311
1.0,1055.0,4.0,4.0,2016.0,11.0,1113025.0,4220.0,4220.0,2126880.0,11605.0,16.0,16.0,8064.0,44.0,16.0,8064.0,44.0,4064256.0,22176.0,121.0,1055.0,4.0,1801
1.0,1056.0,5.0,4.0,2016.0,12.0,1115136.0,5280.0,4224.0,2128896.0,12672.0,25.0,20.0,10080.0,60.0,16.0,8064.0,48.0,4064256.0,24192.0,144.0,1056.0,5.0,2318
1.0,1057.0,6.0,4.0,2016.0,13.0,1117249.0,6342.0,4228.0,2130912.0,13741.0,36.0,24.0,12096.0,78.0,16.0,8064.0,52.0,4064256.0,26208.0,169.0,1057.0,6.0,693
1.0,1058.0,1.0,4.0,2016.0,15.0,1119364.0,1058.0,4232.0,2132928.0,15870.0,1.0,4.0,2016.0,15.0,16.0,8064.0,60.0,4064256.0,30240.0,225.0,1058.0,1.0,2615
1.0,1059.0,2.0,4.0,2016.0,16.0,1121481.0,2118.0,4236.0,2134944.0,16944.0,4.0,8.0,4032.0,32.0,16.0,8064.0,64.0,4064256.0,32256.0,256.0,1059.0,2.0,2726
1.0,1060.0,3.0,4.0,2016.0,17.0,1123600.0,3180.0,4240.0,2136960.0,18020.0,9.0,12.0,6048.0,51.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,1060.0,3.0,2094
1.0,1061.0,4.0,4.0,2016.0,18.0,1125721.0,4244.0,4244.0,2138976.0,19098.0,16.0,16.0,8064.0,72.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,1061.0,4.0,2225
1.0,1062.0,5.0,4.0,2016.0,19.0,1127844.0,5310.0,4248.0,2140992.0,20178.0,25.0,20.0,10080.0,95.0,16.0,8064.0,76.0,4064256.0,38304.0,361.0,1062.0,5.0,1476
1.0,1063.0,6.0,4.0,2016.0,20.0,1129969.0,6378.0,4252.0,2143008.0,21260.0,36.0,24.0,12096.0,120.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,1063.0,6.0,765
1.0,1064.0,1.0,4.0,2016.0,22.0,1132096.0,1064.0,4256.0,2145024.0,23408.0,1.0,4.0,2016.0,22.0,16.0,8064.0,88.0,4064256.0,44352.0,484.0,1064.0,1.0,2691
1.0,1065.0,2.0,4.0,2016.0,23.0,1134225.0,2130.0,4260.0,2147040.0,24495.0,4.0,8.0,4032.0,46.0,16.0,8064.0,92.0,4064256.0,46368.0,529.0,1065.0,2.0,1966
1.0,1066.0,3.0,4.0,2016.0,24.0,1136356.0,3198.0,4264.0,2149056.0,25584.0,9.0,12.0,6048.0,72.0,16.0,8064.0,96.0,4064256.0,48384.0,576.0,1066.0,3.0,2752
1.0,1067.0,4.0,4.0,2016.0,25.0,1138489.0,4268.0,4268.0,2151072.0,26675.0,16.0,16.0,8064.0,100.0,16.0,8064.0,100.0,4064256.0,50400.0,625.0,1067.0,4.0,1620
1.0,1068.0,5.0,4.0,2016.0,26.0,1140624.0,5340.0,4272.0,2153088.0,27768.0,25.0,20.0,10080.0,130.0,16.0,8064.0,104.0,4064256.0,52416.0,676.0,1068.0,5.0,1516
1.0,1069.0,6.0,4.0,2016.0,27.0,1142761.0,6414.0,4276.0,2155104.0,28863.0,36.0,24.0,12096.0,162.0,16.0,8064.0,108.0,4064256.0,54432.0,729.0,1069.0,6.0,757
1.0,1070.0,1.0,4.0,2016.0,29.0,1144900.0,1070.0,4280.0,2157120.0,31030.0,1.0,4.0,2016.0,29.0,16.0,8064.0,116.0,4064256.0,58464.0,841.0,1070.0,1.0,2070
1.0,1071.0,2.0,4.0,2016.0,30.0,1147041.0,2142.0,4284.0,2159136.0,32130.0,4.0,8.0,4032.0,60.0,16.0,8064.0,120.0,4064256.0,60480.0,900.0,1071.0,2.0,2603
1.0,1072.0,3.0,5.0,2016.0,1.0,1149184.0,3216.0,5360.0,2161152.0,1072.0,9.0,15.0,6048.0,3.0,25.0,10080.0,5.0,4064256.0,2016.0,1.0,1072.0,3.0,1796
1.0,1073.0,4.0,5.0,2016.0,2.0,1151329.0,4292.0,5365.0,2163168.0,2146.0,16.0,20.0,8064.0,8.0,25.0,10080.0,10.0,4064256.0,4032.0,4.0,1073.0,4.0,1669
1.0,1074.0,5.0,5.0,2016.0,3.0,1153476.0,5370.0,5370.0,2165184.0,3222.0,25.0,25.0,10080.0,15.0,25.0,10080.0,15.0,4064256.0,6048.0,9.0,1074.0,5.0,2068
1.0,1075.0,6.0,5.0,2016.0,4.0,1155625.0,6450.0,5375.0,2167200.0,4300.0,36.0,30.0,12096.0,24.0,25.0,10080.0,20.0,4064256.0,8064.0,16.0,1075.0,6.0,389
1.0,1076.0,1.0,5.0,2016.0,6.0,1157776.0,1076.0,5380.0,2169216.0,6456.0,1.0,5.0,2016.0,6.0,25.0,10080.0,30.0,4064256.0,12096.0,36.0,1076.0,1.0,2309
1.0,1077.0,2.0,5.0,2016.0,7.0,1159929.0,2154.0,5385.0,2171232.0,7539.0,4.0,10.0,4032.0,14.0,25.0,10080.0,35.0,4064256.0,14112.0,49.0,1077.0,2.0,1916
1.0,1078.0,3.0,5.0,2016.0,8.0,1162084.0,3234.0,5390.0,2173248.0,8624.0,9.0,15.0,6048.0,24.0,25.0,10080.0,40.0,4064256.0,16128.0,64.0,1078.0,3.0,2190
1.0,1079.0,4.0,5.0,2016.0,9.0,1164241.0,4316.0,5395.0,2175264.0,9711.0,16.0,20.0,8064.0,36.0,25.0,10080.0,45.0,4064256.0,18144.0,81.0,1079.0,4.0,1796
1.0,1080.0,5.0,5.0,2016.0,10.0,1166400.0,5400.0,5400.0,2177280.0,10800.0,25.0,25.0,10080.0,50.0,25.0,10080.0,50.0,4064256.0,20160.0,100.0,1080.0,5.0,1939
1.0,1081.0,6.0,5.0,2016.0,11.0,1168561.0,6486.0,5405.0,2179296.0,11891.0,36.0,30.0,12096.0,66.0,25.0,10080.0,55.0,4064256.0,22176.0,121.0,1081.0,6.0,539
1.0,1082.0,1.0,5.0,2016.0,13.0,1170724.0,1082.0,5410.0,2181312.0,14066.0,1.0,5.0,2016.0,13.0,25.0,10080.0,65.0,4064256.0,26208.0,169.0,1082.0,1.0,2809
1.0,1083.0,2.0,5.0,2016.0,14.0,1172889.0,2166.0,5415.0,2183328.0,15162.0,4.0,10.0,4032.0,28.0,25.0,10080.0,70.0,4064256.0,28224.0,196.0,1083.0,2.0,1985
1.0,1084.0,3.0,5.0,2016.0,15.0,1175056.0,3252.0,5420.0,2185344.0,16260.0,9.0,15.0,6048.0,45.0,25.0,10080.0,75.0,4064256.0,30240.0,225.0,1084.0,3.0,2824
1.0,1085.0,4.0,5.0,2016.0,16.0,1177225.0,4340.0,5425.0,2187360.0,17360.0,16.0,20.0,8064.0,64.0,25.0,10080.0,80.0,4064256.0,32256.0,256.0,1085.0,4.0,35
1.0,1086.0,6.0,5.0,2016.0,17.0,1179396.0,6516.0,5430.0,2189376.0,18462.0,36.0,30.0,12096.0,102.0,25.0,10080.0,85.0,4064256.0,34272.0,289.0,1086.0,6.0,50
1.0,1087.0,7.0,5.0,2016.0,18.0,1181569.0,7609.0,5435.0,2191392.0,19566.0,49.0,35.0,14112.0,126.0,25.0,10080.0,90.0,4064256.0,36288.0,324.0,1087.0,7.0,2324
1.0,1088.0,1.0,5.0,2016.0,19.0,1183744.0,1088.0,5440.0,2193408.0,20672.0,1.0,5.0,2016.0,19.0,25.0,10080.0,95.0,4064256.0,38304.0,361.0,1088.0,1.0,1900
1.0,1089.0,2.0,5.0,2016.0,20.0,1185921.0,2178.0,5445.0,2195424.0,21780.0,4.0,10.0,4032.0,40.0,25.0,10080.0,100.0,4064256.0,40320.0,400.0,1089.0,2.0,1854
1.0,1090.0,3.0,5.0,2016.0,21.0,1188100.0,3270.0,5450.0,2197440.0,22890.0,9.0,15.0,6048.0,63.0,25.0,10080.0,105.0,4064256.0,42336.0,441.0,1090.0,3.0,1832
1.0,1091.0,4.0,5.0,2016.0,22.0,1190281.0,4364.0,5455.0,2199456.0,24002.0,16.0,20.0,8064.0,88.0,25.0,10080.0,110.0,4064256.0,44352.0,484.0,1091.0,4.0,1309
1.0,1092.0,5.0,5.0,2016.0,23.0,1192464.0,5460.0,5460.0,2201472.0,25116.0,25.0,25.0,10080.0,115.0,25.0,10080.0,115.0,4064256.0,46368.0,529.0,1092.0,5.0,1578
1.0,1093.0,6.0,5.0,2016.0,24.0,1194649.0,6558.0,5465.0,2203488.0,26232.0,36.0,30.0,12096.0,144.0,25.0,10080.0,120.0,4064256.0,48384.0,576.0,1093.0,6.0,524
1.0,1094.0,7.0,5.0,2016.0,25.0,1196836.0,7658.0,5470.0,2205504.0,27350.0,49.0,35.0,14112.0,175.0,25.0,10080.0,125.0,4064256.0,50400.0,625.0,1094.0,7.0,15
1.0,1095.0,1.0,5.0,2016.0,26.0,1199025.0,1095.0,5475.0,2207520.0,28470.0,1.0,5.0,2016.0,26.0,25.0,10080.0,130.0,4064256.0,52416.0,676.0,1095.0,1.0,1956
1.0,1096.0,2.0,5.0,2016.0,27.0,1201216.0,2192.0,5480.0,2209536.0,29592.0,4.0,10.0,4032.0,54.0,25.0,10080.0,135.0,4064256.0,54432.0,729.0,1096.0,2.0,1805
1.0,1097.0,3.0,5.0,2016.0,28.0,1203409.0,3291.0,5485.0,2211552.0,30716.0,9.0,15.0,6048.0,84.0,25.0,10080.0,140.0,4064256.0,56448.0,784.0,1097.0,3.0,2287
1.0,1098.0,4.0,5.0,2016.0,29.0,1205604.0,4392.0,5490.0,2213568.0,31842.0,16.0,20.0,8064.0,116.0,25.0,10080.0,145.0,4064256.0,58464.0,841.0,1098.0,4.0,1057
1.0,1099.0,5.0,5.0,2016.0,30.0,1207801.0,5495.0,5495.0,2215584.0,32970.0,25.0,25.0,10080.0,150.0,25.0,10080.0,150.0,4064256.0,60480.0,900.0,1099.0,5.0,1499
1.0,1100.0,6.0,5.0,2016.0,31.0,1210000.0,6600.0,5500.0,2217600.0,34100.0,36.0,30.0,12096.0,186.0,25.0,10080.0,155.0,4064256.0,62496.0,961.0,1100.0,6.0,591
1.0,1101.0,1.0,6.0,2016.0,2.0,1212201.0,1101.0,6606.0,2219616.0,2202.0,1.0,6.0,2016.0,2.0,36.0,12096.0,12.0,4064256.0,4032.0,4.0,1101.0,1.0,2120
1.0,1102.0,2.0,6.0,2016.0,3.0,1214404.0,2204.0,6612.0,2221632.0,3306.0,4.0,12.0,4032.0,6.0,36.0,12096.0,18.0,4064256.0,6048.0,9.0,1102.0,2.0,2545
1.0,1103.0,3.0,6.0,2016.0,4.0,1216609.0,3309.0,6618.0,2223648.0,4412.0,9.0,18.0,6048.0,12.0,36.0,12096.0,24.0,4064256.0,8064.0,16.0,1103.0,3.0,2107
1.0,1104.0,4.0,6.0,2016.0,5.0,1218816.0,4416.0,6624.0,2225664.0,5520.0,16.0,24.0,8064.0,20.0,36.0,12096.0,30.0,4064256.0,10080.0,25.0,1104.0,4.0,1568
1.0,1105.0,5.0,6.0,2016.0,6.0,1221025.0,5525.0,6630.0,2227680.0,6630.0,25.0,30.0,10080.0,30.0,36.0,12096.0,36.0,4064256.0,12096.0,36.0,1105.0,5.0,1321
1.0,1106.0,6.0,6.0,2016.0,7.0,1223236.0,6636.0,6636.0,2229696.0,7742.0,36.0,36.0,12096.0,42.0,36.0,12096.0,42.0,4064256.0,14112.0,49.0,1106.0,6.0,631
1.0,1107.0,1.0,6.0,2016.0,9.0,1225449.0,1107.0,6642.0,2231712.0,9963.0,1.0,6.0,2016.0,9.0,36.0,12096.0,54.0,4064256.0,18144.0,81.0,1107.0,1.0,2034
1.0,1108.0,2.0,6.0,2016.0,10.0,1227664.0,2216.0,6648.0,2233728.0,11080.0,4.0,12.0,4032.0,20.0,36.0,12096.0,60.0,4064256.0,20160.0,100.0,1108.0,2.0,2409
1.0,1109.0,3.0,6.0,2016.0,11.0,1229881.0,3327.0,6654.0,2235744.0,12199.0,9.0,18.0,6048.0,33.0,36.0,12096.0,66.0,4064256.0,22176.0,121.0,1109.0,3.0,2008
1.0,1110.0,4.0,6.0,2016.0,12.0,1232100.0,4440.0,6660.0,2237760.0,13320.0,16.0,24.0,8064.0,48.0,36.0,12096.0,72.0,4064256.0,24192.0,144.0,1110.0,4.0,1118
1.0,1111.0,5.0,6.0,2016.0,13.0,1234321.0,5555.0,6666.0,2239776.0,14443.0,25.0,30.0,10080.0,65.0,36.0,12096.0,78.0,4064256.0,26208.0,169.0,1111.0,5.0,1958
1.0,1112.0,6.0,6.0,2016.0,14.0,1236544.0,6672.0,6672.0,2241792.0,15568.0,36.0,36.0,12096.0,84.0,36.0,12096.0,84.0,4064256.0,28224.0,196.0,1112.0,6.0,614
1.0,1113.0,1.0,6.0,2016.0,16.0,1238769.0,1113.0,6678.0,2243808.0,17808.0,1.0,6.0,2016.0,16.0,36.0,12096.0,96.0,4064256.0,32256.0,256.0,1113.0,1.0,2076
1.0,1114.0,2.0,6.0,2016.0,17.0,1240996.0,2228.0,6684.0,2245824.0,18938.0,4.0,12.0,4032.0,34.0,36.0,12096.0,102.0,4064256.0,34272.0,289.0,1114.0,2.0,1936
1.0,1115.0,3.0,6.0,2016.0,18.0,1243225.0,3345.0,6690.0,2247840.0,20070.0,9.0,18.0,6048.0,54.0,36.0,12096.0,108.0,4064256.0,36288.0,324.0,1115.0,3.0,1804
1.0,1116.0,4.0,6.0,2016.0,19.0,1245456.0,4464.0,6696.0,2249856.0,21204.0,16.0,24.0,8064.0,76.0,36.0,12096.0,114.0,4064256.0,38304.0,361.0,1116.0,4.0,1514
1.0,1117.0,5.0,6.0,2016.0,20.0,1247689.0,5585.0,6702.0,2251872.0,22340.0,25.0,30.0,10080.0,100.0,36.0,12096.0,120.0,4064256.0,40320.0,400.0,1117.0,5.0,1939
1.0,1118.0,6.0,6.0,2016.0,21.0,1249924.0,6708.0,6708.0,2253888.0,23478.0,36.0,36.0,12096.0,126.0,36.0,12096.0,126.0,4064256.0,42336.0,441.0,1118.0,6.0,545
1.0,1119.0,1.0,6.0,2016.0,23.0,1252161.0,1119.0,6714.0,2255904.0,25737.0,1.0,6.0,2016.0,23.0,36.0,12096.0,138.0,4064256.0,46368.0,529.0,1119.0,1.0,2041
1.0,1120.0,2.0,6.0,2016.0,24.0,1254400.0,2240.0,6720.0,2257920.0,26880.0,4.0,12.0,4032.0,48.0,36.0,12096.0,144.0,4064256.0,48384.0,576.0,1120.0,2.0,2619
1.0,1121.0,3.0,6.0,2016.0,25.0,1256641.0,3363.0,6726.0,2259936.0,28025.0,9.0,18.0,6048.0,75.0,36.0,12096.0,150.0,4064256.0,50400.0,625.0,1121.0,3.0,2418
1.0,1122.0,4.0,6.0,2016.0,26.0,1258884.0,4488.0,6732.0,2261952.0,29172.0,16.0,24.0,8064.0,104.0,36.0,12096.0,156.0,4064256.0,52416.0,676.0,1122.0,4.0,1643
1.0,1123.0,5.0,6.0,2016.0,27.0,1261129.0,5615.0,6738.0,2263968.0,30321.0,25.0,30.0,10080.0,135.0,36.0,12096.0,162.0,4064256.0,54432.0,729.0,1123.0,5.0,1848
