r_date,date,day_of_week,cnt,month,year,day
2013-01-02,1.0,3.0,68.0,1,2013,2
2013-01-03,2.0,4.0,36.0,1,2013,3
2013-01-04,3.0,5.0,5565.0,1,2013,4
2013-01-05,4.0,6.0,4966.0,1,2013,5
2013-01-06,5.0,7.0,3346.0,1,2013,6
2013-01-07,6.0,1.0,3396.0,1,2013,7
2013-01-08,7.0,2.0,4146.0,1,2013,8
2013-01-09,8.0,3.0,3096.0,1,2013,9
2013-01-10,9.0,4.0,2713.0,1,2013,10
2013-01-11,10.0,5.0,2409.0,1,2013,11
2013-01-12,11.0,6.0,275.0,1,2013,12
2013-01-14,12.0,1.0,2735.0,1,2013,14
2013-01-15,13.0,2.0,2386.0,1,2013,15
2013-01-16,14.0,3.0,1901.0,1,2013,16
2013-01-17,15.0,4.0,6072.0,1,2013,17
2013-01-18,16.0,5.0,2716.0,1,2013,18
2013-01-19,17.0,6.0,216.0,1,2013,19
2013-01-20,18.0,7.0,22.0,1,2013,20
2013-01-21,19.0,1.0,3903.0,1,2013,21
2013-01-22,20.0,2.0,2700.0,1,2013,22
2013-01-23,21.0,3.0,2700.0,1,2013,23
2013-01-24,22.0,4.0,2073.0,1,2013,24
2013-01-25,23.0,5.0,1702.0,1,2013,25
2013-01-26,24.0,6.0,231.0,1,2013,26
2013-01-28,25.0,1.0,3377.0,1,2013,28
2013-01-29,26.0,2.0,3016.0,1,2013,29
2013-01-30,27.0,3.0,2586.0,1,2013,30
2013-01-31,28.0,4.0,1652.0,1,2013,31
2013-02-01,29.0,5.0,2726.0,2,2013,1
2013-02-02,30.0,6.0,279.0,2,2013,2
2013-02-03,31.0,7.0,23.0,2,2013,3
2013-02-04,32.0,1.0,4094.0,2,2013,4
2013-02-05,33.0,2.0,4059.0,2,2013,5
2013-02-06,34.0,3.0,3741.0,2,2013,6
2013-02-07,35.0,4.0,2567.0,2,2013,7
2013-02-08,36.0,5.0,761.0,2,2013,8
2013-02-14,37.0,4.0,19.0,2,2013,14
2013-02-15,38.0,5.0,13.0,2,2013,15
2013-02-16,39.0,6.0,2847.0,2,2013,16
2013-02-17,40.0,7.0,2936.0,2,2013,17
2013-02-18,41.0,1.0,2377.0,2,2013,18
2013-02-19,42.0,2.0,1740.0,2,2013,19
2013-02-20,43.0,3.0,2563.0,2,2013,20
2013-02-21,44.0,4.0,1896.0,2,2013,21
2013-02-22,45.0,5.0,1552.0,2,2013,22
2013-02-23,46.0,6.0,186.0,2,2013,23
2013-02-25,47.0,1.0,1874.0,2,2013,25
2013-02-26,48.0,2.0,1844.0,2,2013,26
2013-02-27,49.0,3.0,1919.0,2,2013,27
2013-02-28,50.0,4.0,1191.0,2,2013,28
2013-03-01,51.0,5.0,1816.0,3,2013,1
2013-03-02,52.0,6.0,87.0,3,2013,2
2013-03-04,53.0,1.0,1843.0,3,2013,4
2013-03-05,54.0,2.0,1900.0,3,2013,5
2013-03-06,55.0,3.0,1615.0,3,2013,6
2013-03-07,56.0,4.0,1461.0,3,2013,7
2013-03-08,57.0,5.0,1514.0,3,2013,8
2013-03-09,58.0,6.0,180.0,3,2013,9
2013-03-10,59.0,7.0,41.0,3,2013,10
2013-03-11,60.0,1.0,1933.0,3,2013,11
2013-03-12,61.0,2.0,1812.0,3,2013,12
2013-03-13,62.0,3.0,1763.0,3,2013,13
2013-03-14,63.0,4.0,1386.0,3,2013,14
2013-03-15,64.0,5.0,1345.0,3,2013,15
2013-03-16,65.0,6.0,113.0,3,2013,16
2013-03-18,66.0,1.0,1797.0,3,2013,18
2013-03-19,67.0,2.0,1889.0,3,2013,19
2013-03-20,68.0,3.0,1445.0,3,2013,20
2013-03-21,69.0,4.0,1452.0,3,2013,21
2013-03-22,70.0,5.0,1559.0,3,2013,22
2013-03-23,71.0,6.0,198.0,3,2013,23
2013-03-25,72.0,1.0,1739.0,3,2013,25
2013-03-26,73.0,2.0,1794.0,3,2013,26
2013-03-27,74.0,3.0,1464.0,3,2013,27
2013-03-28,75.0,4.0,1279.0,3,2013,28
2013-03-29,76.0,5.0,1601.0,3,2013,29
2013-03-30,77.0,6.0,171.0,3,2013,30
2013-03-31,78.0,7.0,22.0,3,2013,31
2013-04-01,79.0,1.0,744.0,4,2013,1
2013-04-02,80.0,2.0,2424.0,4,2013,2
2013-04-03,81.0,3.0,1959.0,4,2013,3
2013-04-04,82.0,4.0,60.0,4,2013,4
2013-04-05,83.0,5.0,51.0,4,2013,5
2013-04-06,84.0,6.0,30.0,4,2013,6
2013-04-07,85.0,7.0,1929.0,4,2013,7
2013-04-08,86.0,1.0,1745.0,4,2013,8
2013-04-09,87.0,2.0,2143.0,4,2013,9
2013-04-10,88.0,3.0,1709.0,4,2013,10
2013-04-11,89.0,4.0,1294.0,4,2013,11
2013-04-12,90.0,5.0,1527.0,4,2013,12
2013-04-13,91.0,6.0,198.0,4,2013,13
2013-04-15,92.0,1.0,2164.0,4,2013,15
2013-04-16,93.0,2.0,1631.0,4,2013,16
2013-04-17,94.0,3.0,1859.0,4,2013,17
2013-04-18,95.0,4.0,1447.0,4,2013,18
2013-04-19,96.0,5.0,1514.0,4,2013,19
2013-04-20,97.0,6.0,137.0,4,2013,20
2013-04-21,98.0,7.0,36.0,4,2013,21
2013-04-22,99.0,1.0,2104.0,4,2013,22
2013-04-23,100.0,2.0,1584.0,4,2013,23
2013-04-24,101.0,3.0,1449.0,4,2013,24
2013-04-25,102.0,4.0,1102.0,4,2013,25
2013-04-26,103.0,5.0,1774.0,4,2013,26
2013-04-27,104.0,6.0,1462.0,4,2013,27
2013-04-28,105.0,7.0,1626.0,4,2013,28
2013-04-29,106.0,1.0,73.0,4,2013,29
2013-04-30,107.0,4.0,2484.0,4,2013,30
2013-05-01,108.0,5.0,1723.0,5,2013,1
2013-05-02,109.0,6.0,104.0,5,2013,2
2013-05-04,110.0,1.0,2427.0,5,2013,4
2013-05-05,111.0,2.0,2587.0,5,2013,5
2013-05-06,112.0,3.0,2220.0,5,2013,6
2013-05-07,113.0,4.0,1142.0,5,2013,7
2013-05-08,114.0,5.0,1934.0,5,2013,8
2013-05-09,115.0,6.0,121.0,5,2013,9
2013-05-10,116.0,7.0,23.0,5,2013,10
2013-05-11,117.0,1.0,2509.0,5,2013,11
2013-05-12,118.0,2.0,2284.0,5,2013,12
2013-05-13,119.0,3.0,2068.0,5,2013,13
2013-05-14,120.0,4.0,1088.0,5,2013,14
2013-05-15,121.0,5.0,2030.0,5,2013,15
2013-05-16,122.0,6.0,38.0,5,2013,16
2013-05-18,123.0,1.0,1940.0,5,2013,18
2013-05-19,124.0,2.0,2342.0,5,2013,19
2013-05-20,125.0,3.0,5581.0,5,2013,20
2013-05-21,126.0,4.0,2333.0,5,2013,21
2013-05-22,127.0,5.0,1931.0,5,2013,22
2013-05-23,128.0,6.0,140.0,5,2013,23
2013-05-25,129.0,1.0,1794.0,5,2013,25
2013-05-26,130.0,2.0,2055.0,5,2013,26
2013-05-27,131.0,3.0,1658.0,5,2013,27
2013-05-28,132.0,4.0,1497.0,5,2013,28
2013-05-29,133.0,5.0,1161.0,5,2013,29
2013-05-30,134.0,6.0,113.0,5,2013,30
2013-05-31,135.0,7.0,14.0,5,2013,31
2013-06-01,136.0,1.0,2374.0,6,2013,1
2013-06-02,137.0,2.0,1885.0,6,2013,2
2013-06-03,138.0,3.0,1606.0,6,2013,3
2013-06-04,139.0,4.0,1690.0,6,2013,4
2013-06-05,140.0,5.0,1354.0,6,2013,5
2013-06-06,141.0,6.0,1266.0,6,2013,6
2013-06-07,142.0,7.0,1309.0,6,2013,7
2013-06-08,143.0,1.0,89.0,6,2013,8
2013-06-09,144.0,4.0,2265.0,6,2013,9
2013-06-10,145.0,5.0,1721.0,6,2013,10
2013-06-11,146.0,6.0,150.0,6,2013,11
2013-06-12,147.0,7.0,26.0,6,2013,12
2013-06-13,148.0,1.0,1612.0,6,2013,13
2013-06-14,149.0,2.0,2178.0,6,2013,14
2013-06-15,150.0,3.0,1539.0,6,2013,15
2013-06-16,151.0,4.0,1067.0,6,2013,16
2013-06-17,152.0,5.0,1325.0,6,2013,17
2013-06-18,153.0,6.0,85.0,6,2013,18
2013-06-19,154.0,7.0,36.0,6,2013,19
2013-06-20,155.0,1.0,1778.0,6,2013,20
2013-06-21,156.0,2.0,2336.0,6,2013,21
2013-06-22,157.0,3.0,1487.0,6,2013,22
2013-06-23,158.0,4.0,1025.0,6,2013,23
2013-06-24,159.0,5.0,1659.0,6,2013,24
2013-06-25,160.0,6.0,183.0,6,2013,25
2013-06-27,161.0,1.0,1819.0,6,2013,27
2013-06-28,162.0,2.0,1781.0,6,2013,28
2013-06-29,163.0,3.0,1924.0,6,2013,29
2013-06-30,164.0,4.0,1256.0,6,2013,30
2013-07-01,165.0,5.0,1526.0,7,2013,1
2013-07-02,166.0,6.0,108.0,7,2013,2
2013-07-03,167.0,7.0,14.0,7,2013,3
2013-07-04,168.0,1.0,1804.0,7,2013,4
2013-07-05,169.0,2.0,1615.0,7,2013,5
2013-07-06,170.0,3.0,1558.0,7,2013,6
2013-07-07,171.0,4.0,810.0,7,2013,7
2013-07-08,172.0,5.0,1603.0,7,2013,8
2013-07-09,173.0,6.0,94.0,7,2013,9
2013-07-10,174.0,7.0,23.0,7,2013,10
2013-07-11,175.0,1.0,2141.0,7,2013,11
2013-07-12,176.0,2.0,1759.0,7,2013,12
2013-07-13,177.0,3.0,1506.0,7,2013,13
2013-07-14,178.0,4.0,1271.0,7,2013,14
2013-07-15,179.0,5.0,1633.0,7,2013,15
2013-07-16,180.0,6.0,154.0,7,2013,16
2013-07-17,181.0,7.0,14.0,7,2013,17
2013-07-18,182.0,1.0,2028.0,7,2013,18
2013-07-19,183.0,2.0,2033.0,7,2013,19
2013-07-20,184.0,3.0,1346.0,7,2013,20
2013-07-21,185.0,4.0,1031.0,7,2013,21
2013-07-22,186.0,5.0,1290.0,7,2013,22
2013-07-23,187.0,6.0,42.0,7,2013,23
2013-07-25,188.0,1.0,1961.0,7,2013,25
2013-07-26,189.0,2.0,1751.0,7,2013,26
2013-07-27,190.0,3.0,1505.0,7,2013,27
2013-07-28,191.0,4.0,1477.0,7,2013,28
2013-07-29,192.0,5.0,1892.0,7,2013,29
2013-07-30,193.0,6.0,81.0,7,2013,30
2013-08-01,194.0,1.0,2100.0,8,2013,1
2013-08-02,195.0,2.0,1905.0,8,2013,2
2013-08-03,196.0,3.0,1682.0,8,2013,3
2013-08-04,197.0,4.0,1370.0,8,2013,4
2013-08-05,198.0,5.0,985.0,8,2013,5
2013-08-06,199.0,6.0,27.0,8,2013,6
2013-08-08,200.0,1.0,1804.0,8,2013,8
2013-08-09,201.0,2.0,1760.0,8,2013,9
2013-08-10,202.0,3.0,1951.0,8,2013,10
2013-08-11,203.0,4.0,1058.0,8,2013,11
2013-08-12,204.0,5.0,1150.0,8,2013,12
2013-08-13,205.0,6.0,363.0,8,2013,13
2013-08-15,206.0,1.0,2765.0,8,2013,15
2013-08-16,207.0,2.0,2281.0,8,2013,16
2013-08-17,208.0,3.0,1064.0,8,2013,17
2013-08-18,209.0,4.0,1438.0,8,2013,18
2013-08-19,210.0,5.0,1698.0,8,2013,19
2013-08-20,211.0,6.0,122.0,8,2013,20
2013-08-21,212.0,7.0,14.0,8,2013,21
2013-08-22,213.0,1.0,2106.0,8,2013,22
2013-08-23,214.0,2.0,1811.0,8,2013,23
2013-08-24,215.0,3.0,1751.0,8,2013,24
2013-08-25,216.0,4.0,1433.0,8,2013,25
2013-08-26,217.0,5.0,1034.0,8,2013,26
2013-08-27,218.0,6.0,73.0,8,2013,27
2013-08-28,219.0,7.0,26.0,8,2013,28
2013-08-29,220.0,1.0,1775.0,8,2013,29
2013-08-30,221.0,2.0,2032.0,8,2013,30
2013-08-31,222.0,3.0,1607.0,8,2013,31
2013-09-01,223.0,4.0,861.0,9,2013,1
2013-09-02,224.0,5.0,1534.0,9,2013,2
2013-09-03,225.0,6.0,371.0,9,2013,3
2013-09-05,226.0,1.0,1794.0,9,2013,5
2013-09-06,227.0,2.0,1965.0,9,2013,6
2013-09-07,228.0,3.0,1408.0,9,2013,7
2013-09-08,229.0,4.0,1762.0,9,2013,8
2013-09-09,230.0,5.0,1329.0,9,2013,9
2013-09-10,231.0,6.0,188.0,9,2013,10
2013-09-12,232.0,1.0,2288.0,9,2013,12
2013-09-13,233.0,2.0,1900.0,9,2013,13
2013-09-14,234.0,3.0,2101.0,9,2013,14
2013-09-15,235.0,4.0,48.0,9,2013,15
2013-09-16,236.0,5.0,13.0,9,2013,16
2013-09-17,237.0,7.0,2933.0,9,2013,17
2013-09-18,238.0,1.0,2330.0,9,2013,18
2013-09-19,239.0,2.0,2483.0,9,2013,19
2013-09-20,240.0,3.0,1949.0,9,2013,20
2013-09-21,241.0,4.0,1898.0,9,2013,21
2013-09-22,242.0,5.0,2025.0,9,2013,22
2013-09-23,243.0,6.0,243.0,9,2013,23
2013-09-24,244.0,7.0,2876.0,9,2013,24
2013-09-25,245.0,1.0,2172.0,9,2013,25
2013-09-26,246.0,3.0,117.0,9,2013,26
2013-09-27,247.0,5.0,17.0,9,2013,27
2013-09-28,248.0,6.0,16.0,9,2013,28
2013-09-29,249.0,7.0,19.0,9,2013,29
2013-10-01,250.0,2.0,4723.0,10,2013,1
2013-10-02,251.0,3.0,2681.0,10,2013,2
2013-10-03,252.0,4.0,1876.0,10,2013,3
2013-10-04,253.0,5.0,1339.0,10,2013,4
2013-10-05,254.0,6.0,1414.0,10,2013,5
2013-10-06,255.0,7.0,19.0,10,2013,6
2013-10-07,256.0,1.0,2250.0,10,2013,7
2013-10-08,257.0,2.0,2669.0,10,2013,8
2013-10-09,258.0,3.0,2540.0,10,2013,9
2013-10-10,259.0,4.0,997.0,10,2013,10
2013-10-11,260.0,5.0,1808.0,10,2013,11
2013-10-12,261.0,6.0,171.0,10,2013,12
2013-10-14,262.0,1.0,1909.0,10,2013,14
2013-10-15,263.0,2.0,2541.0,10,2013,15
2013-10-16,264.0,3.0,1722.0,10,2013,16
2013-10-17,265.0,4.0,1606.0,10,2013,17
2013-10-18,266.0,5.0,1664.0,10,2013,18
2013-10-19,267.0,6.0,192.0,10,2013,19
2013-10-21,268.0,1.0,2436.0,10,2013,21
2013-10-22,269.0,2.0,2077.0,10,2013,22
2013-10-23,270.0,3.0,1789.0,10,2013,23
2013-10-24,271.0,4.0,1321.0,10,2013,24
2013-10-25,272.0,5.0,1714.0,10,2013,25
2013-10-26,273.0,6.0,129.0,10,2013,26
2013-10-28,274.0,1.0,2059.0,10,2013,28
2013-10-29,275.0,2.0,1849.0,10,2013,29
2013-10-30,276.0,3.0,1631.0,10,2013,30
2013-10-31,277.0,4.0,1197.0,10,2013,31
2013-11-01,278.0,5.0,2099.0,11,2013,1
2013-11-02,279.0,6.0,206.0,11,2013,2
2013-11-04,280.0,1.0,1712.0,11,2013,4
2013-11-05,281.0,2.0,2338.0,11,2013,5
2013-11-06,282.0,3.0,2103.0,11,2013,6
2013-11-07,283.0,4.0,1130.0,11,2013,7
2013-11-08,284.0,5.0,1693.0,11,2013,8
2013-11-09,285.0,6.0,170.0,11,2013,9
2013-11-11,286.0,1.0,2057.0,11,2013,11
2013-11-12,287.0,2.0,2160.0,11,2013,12
2013-11-13,288.0,3.0,1519.0,11,2013,13
2013-11-14,289.0,4.0,1357.0,11,2013,14
2013-11-15,290.0,5.0,1698.0,11,2013,15
2013-11-16,291.0,6.0,192.0,11,2013,16
2013-11-17,292.0,7.0,22.0,11,2013,17
2013-11-18,293.0,1.0,2118.0,11,2013,18
2013-11-19,294.0,2.0,2170.0,11,2013,19
2013-11-20,295.0,3.0,1681.0,11,2013,20
2013-11-21,296.0,4.0,1454.0,11,2013,21
2013-11-22,297.0,5.0,1849.0,11,2013,22
2013-11-23,298.0,6.0,778.0,11,2013,23
2013-11-25,299.0,1.0,2290.0,11,2013,25
2013-11-26,300.0,2.0,2126.0,11,2013,26
2013-11-27,301.0,3.0,2309.0,11,2013,27
2013-11-28,302.0,4.0,1288.0,11,2013,28
2013-11-29,303.0,5.0,1654.0,11,2013,29
2013-11-30,304.0,6.0,377.0,11,2013,30
2013-12-02,305.0,1.0,2026.0,12,2013,2
2013-12-03,306.0,2.0,2002.0,12,2013,3
2013-12-04,307.0,3.0,2739.0,12,2013,4
2013-12-05,308.0,4.0,1726.0,12,2013,5
2013-12-06,309.0,5.0,1474.0,12,2013,6
2013-12-07,310.0,6.0,255.0,12,2013,7
2013-12-09,311.0,1.0,2156.0,12,2013,9
2013-12-10,312.0,2.0,1680.0,12,2013,10
2013-12-11,313.0,3.0,1979.0,12,2013,11
2013-12-12,314.0,4.0,1207.0,12,2013,12
2013-12-13,315.0,5.0,1831.0,12,2013,13
2013-12-14,316.0,6.0,278.0,12,2013,14
2013-12-16,317.0,1.0,1587.0,12,2013,16
2013-12-17,318.0,2.0,1514.0,12,2013,17
2013-12-18,319.0,3.0,1584.0,12,2013,18
2013-12-19,320.0,4.0,1365.0,12,2013,19
2013-12-20,321.0,5.0,1642.0,12,2013,20
2013-12-21,322.0,6.0,205.0,12,2013,21
2013-12-23,323.0,1.0,1660.0,12,2013,23
2013-12-24,324.0,2.0,950.0,12,2013,24
2013-12-25,325.0,4.0,4254.0,12,2013,25
2013-12-26,326.0,5.0,4569.0,12,2013,26
2013-12-27,327.0,6.0,649.0,12,2013,27
2013-12-29,328.0,1.0,5202.0,12,2013,29
2013-12-30,329.0,2.0,5090.0,12,2013,30
2013-12-31,330.0,3.0,3488.0,12,2013,31
2014-01-01,331.0,4.0,2171.0,1,2014,1
2014-01-02,332.0,5.0,3075.0,1,2014,2
2014-01-03,333.0,6.0,441.0,1,2014,3
2014-01-05,334.0,1.0,2593.0,1,2014,5
2014-01-06,335.0,2.0,2796.0,1,2014,6
2014-01-07,336.0,3.0,2546.0,1,2014,7
2014-01-08,337.0,4.0,2706.0,1,2014,8
2014-01-09,338.0,5.0,3006.0,1,2014,9
2014-01-10,339.0,6.0,411.0,1,2014,10
2014-01-12,340.0,1.0,3591.0,1,2014,12
2014-01-13,341.0,2.0,3528.0,1,2014,13
2014-01-14,342.0,3.0,3534.0,1,2014,14
2014-01-15,343.0,4.0,2142.0,1,2014,15
2014-01-16,344.0,5.0,3887.0,1,2014,16
2014-01-17,345.0,6.0,324.0,1,2014,17
